Cue,Spectrum Left,Spectrum Right
A coworker takes credit for your idea,Confront them directly,Let it go to avoid tension
A large party,Leave early and rest,Stay late and meet people
Planning a weekend trip,Detailed itinerary,Go with the flow
Quitting stable job for a new startup,Uncomfortable,Excited
Bungee jumping,Stressful,Thrilling
Beach,Calm,Crowded
Your music taste,Quiet,Bombastic
Public speaking,Uncomfortable,Energizing
Smartphone,Useful,Harmful
Alarm Clock,Helpful,Annoying
Neighbor,Friendly,Nosy
Beautifulness,Objective,Subjective
Vacation,Familiar place,New destination
Drinking,Cringe,Cool
Competition,Motivating,Stressful
Glass,Durable,Fragile
Aircraft engine,Distraction,Focus
Coffee,Relaxing,Energizing
Surprise party,Overwhelming,Delightful
Texting style,Brief and direct,Expressive and detailed
Genius,Lucky,Hardworking
Deadline,Early completion,Last-minute burst
