Trait,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Correlation_Strength,header_id,cue
REI,0.06226607471433801,0.3810810942293618,0.1018416184725639,0.1512973546560564,0.1018416184725639,header_0,Horror Movie
Extraversion,0.06337235511579536,0.37266132295643273,0.07318387302417091,0.3030707201825123,0.07318387302417091,header_0,Horror Movie
Conscientiousness,-0.02201947001082448,0.756950356050584,-0.04802453875099805,0.4994837470918678,0.04802453875099805,header_0,Horror Movie
BES-A,0.021159498203924754,0.7661625621394264,0.0351667130556474,0.6210462522560838,0.0351667130556474,header_0,Horror Movie
Agreeableness,0.046667299479461175,0.5116979176790376,0.031466307924430365,0.6582568874512937,0.031466307924430365,header_0,Horror Movie
Neuroticism,0.038918055220839055,0.584281229007743,0.020171089146028158,0.7767912135118099,0.020171089146028158,header_0,Horror Movie
Openness,0.06249124164058048,0.37935804615828533,-0.0067869915848100155,0.9240113891886561,0.0067869915848100155,header_0,Horror Movie
Extraversion,0.32169346703399276,3.4010072553865366e-06,0.24130203527896646,0.0005771265526008778,0.24130203527896646,header_1,Math
BES-A,0.2343022576390376,0.0008396818036656786,0.16828855083207542,0.017216279829278463,0.16828855083207542,header_1,Math
REI,0.21033530338700449,0.0027947032495684865,0.15478175979019354,0.028638308642204274,0.15478175979019354,header_1,Math
Conscientiousness,0.1206925995498353,0.08868394025015601,0.12836028449257,0.07007726777247773,0.12836028449257,header_1,Math
Openness,-0.07058845181236702,0.3205862684194245,-0.09149467303697514,0.19756360520427485,0.09149467303697514,header_1,Math
Agreeableness,-0.014045835925159116,0.8435123531976464,-0.05677883601520515,0.4245308481595208,0.05677883601520515,header_1,Math
Neuroticism,0.005941388987115558,0.9334555685315202,-0.03355569284672431,0.6371355551123612,0.03355569284672431,header_1,Math
Agreeableness,0.5410220242121514,1.3341776877082037e-16,0.6327783353714429,9.042964313599266e-24,0.6327783353714429,header_10,A hand-written note
Openness,0.36351408189083184,1.218083309571507e-07,0.3852447030704468,1.7712994187497353e-08,0.3852447030704468,header_10,A hand-written note
REI,-0.317476847670718,4.6337280240229286e-06,-0.32087566764483005,3.6125840384225e-06,0.32087566764483005,header_10,A hand-written note
Extraversion,-0.2591111217882106,0.00021148119108077405,-0.2662055983120363,0.00013891114258875306,0.2662055983120363,header_10,A hand-written note
BES-A,-0.15612439166307293,0.027268803243393307,-0.16561084992895903,0.01909774054218249,0.16561084992895903,header_10,A hand-written note
Neuroticism,-0.0202349191568398,0.7761035531887894,-0.06803265737379205,0.33846331181907663,0.06803265737379205,header_10,A hand-written note
Conscientiousness,-0.01879720283078083,0.7916337584256479,0.023493318428250844,0.7412422365862614,0.023493318428250844,header_10,A hand-written note
Agreeableness,0.5552191786867993,1.4377328689545296e-17,0.5514997750157711,2.6037713702697483e-17,0.5514997750157711,header_11,beautifulness
Openness,0.454078928255446,1.4454350162550328e-11,0.45607828624356433,1.1468325902545343e-11,0.45607828624356433,header_11,beautifulness
