Header,Top_1_Trait,Top_1_r,Top_2_Trait,Top_2_r,Top_3_Trait,Top_3_r
Horror Movie,REI,0.10,Extraversion,0.07,Conscientiousness,-0.05
Math,Extraversion,0.24,BES-A,0.17,REI,0.15
A hand-written note,Agreeableness,0.63,Openness,0.39,REI,-0.32
beautifulness,Agreeableness,0.55,Openness,0.46,REI,-0.39
Aircraft engine,Agreeableness,0.37,REI,-0.26,Extraversion,-0.23
dinosour,Agreeableness,0.57,Openness,0.41,REI,-0.32
Drinking,REI,0.40,Extraversion,0.35,BES-A,0.27
venture capital,Agreeableness,0.33,Conscientiousness,0.20,Openness,0.17
Smoke detector,Agreeableness,-0.52,Extraversion,0.35,REI,0.33
Candle Light at New City,Agreeableness,0.21,REI,-0.21,Extraversion,-0.15
Avatar 2,Agreeableness,0.42,Extraversion,-0.36,Openness,0.33
Diet Coke,Agreeableness,-0.31,BES-A,0.26,Extraversion,0.25
Artificial General Intelligence,Agreeableness,-0.22,Conscientiousness,-0.15,BES-A,0.13
nuclear,Agreeableness,0.22,REI,-0.11,Openness,0.10
cat,Openness,0.16,Agreeableness,0.16,REI,-0.12
Glass,Agreeableness,-0.55,Openness,-0.43,REI,0.42
graduation yearbook,Agreeableness,0.66,Openness,0.45,Neuroticism,-0.23
streaming video,Agreeableness,0.57,Openness,0.34,Extraversion,-0.26
Murphy's Law,Agreeableness,0.21,Openness,0.16,BES-A,-0.12
Your music taste,Agreeableness,-0.47,Extraversion,0.46,REI,0.41
